state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline,mesh,region_memory_capacity,shared_state_size,branch_width
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,1
S_task,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,helium_like_operator_schedule,16x16,268435456,4000,1
S_market_context,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,helium_like_operator_schedule,16x16,268435456,4000,1
S_risk_policy,cache_kv,2218.3199999999997,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,helium_like_operator_schedule,16x16,268435456,4000,1
S_tool_schema,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_role_instruction,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,1
S_task,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,wafer_request_centric,16x16,268435456,4000,1
S_market_context,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,wafer_request_centric,16x16,268435456,4000,1
S_risk_policy,cache_kv,2218.3199999999997,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,wafer_request_centric,16x16,268435456,4000,1
S_tool_schema,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_role_instruction,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,1
S_task,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,WaferStateFlow,16x16,268435456,4000,1
S_market_context,replicate,12332.8,16.0,8.192,16.384,20.48,small hot state with broad fanout,WaferStateFlow,16x16,268435456,4000,1
S_risk_policy,cache_kv,2218.3199999999997,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,WaferStateFlow,16x16,268435456,4000,1
S_tool_schema,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_role_instruction,inline,0.0,3.2,8.192,16.384,4.096,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,1
S_task,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,2
S_market_context,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,2
S_risk_policy,replicate,4646.4,9.6,8.192,16.384,12.288,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,2
S_tool_schema,cache_kv,1084.3200000000002,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,request_parallel_gpu_like,16x16,268435456,4000,2
S_role_instruction,cache_kv,1192.3200000000004,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,request_parallel_gpu_like,16x16,268435456,4000,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,2
S_task,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,helium_like_operator_schedule,16x16,268435456,4000,2
S_market_context,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,helium_like_operator_schedule,16x16,268435456,4000,2
S_risk_policy,replicate,4646.4,9.6,8.192,16.384,12.288,small hot state with broad fanout,helium_like_operator_schedule,16x16,268435456,4000,2
S_tool_schema,cache_kv,1084.3200000000002,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,helium_like_operator_schedule,16x16,268435456,4000,2
S_role_instruction,cache_kv,1192.3200000000004,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,helium_like_operator_schedule,16x16,268435456,4000,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,helium_like_operator_schedule,16x16,268435456,4000,2
S_task,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,wafer_request_centric,16x16,268435456,4000,2
S_market_context,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,wafer_request_centric,16x16,268435456,4000,2
S_risk_policy,replicate,4646.4,9.6,8.192,16.384,12.288,small hot state with broad fanout,wafer_request_centric,16x16,268435456,4000,2
S_tool_schema,cache_kv,1084.3200000000002,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,wafer_request_centric,16x16,268435456,4000,2
S_role_instruction,cache_kv,1192.3200000000004,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,wafer_request_centric,16x16,268435456,4000,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,wafer_request_centric,16x16,268435456,4000,2
S_task,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,WaferStateFlow,16x16,268435456,4000,2
S_market_context,replicate,41625.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,WaferStateFlow,16x16,268435456,4000,2
S_risk_policy,replicate,4646.4,9.6,8.192,16.384,12.288,small hot state with broad fanout,WaferStateFlow,16x16,268435456,4000,2
S_tool_schema,cache_kv,1084.3200000000002,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,WaferStateFlow,16x16,268435456,4000,2
S_role_instruction,cache_kv,1192.3200000000004,6.4,8.192,16.384,8.192,prefill-heavy reusable state can be represented as compatible KV,WaferStateFlow,16x16,268435456,4000,2
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_portfolio_decision,inline,0.0,1.084,2.77504,5.55008,0.0,low fanout or low hotness,WaferStateFlow,16x16,268435456,4000,2
S_task,replicate,573542.4,105.60000000000001,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,8
S_market_context,replicate,573542.4,105.60000000000001,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,8
S_risk_policy,replicate,51225.6,28.8,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,8
S_tool_schema,replicate,22422.4,25.6,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,8
S_role_instruction,replicate,24662.400000000005,25.6,8.192,16.384,32.768,small hot state with broad fanout,request_parallel_gpu_like,16x16,268435456,4000,8
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness,request_parallel_gpu_like,16x16,268435456,4000,8
